ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
2025,F,Flight,5,4,229,3,medium,M,29,2505
2026,D,Ship,4,5,169,4,low,M,6,4168
2027,B,Flight,6,2,229,3,medium,M,13,2322
2028,F,Ship,4,3,233,2,medium,F,47,3606
2029,F,Ship,3,5,137,3,high,F,28,1815
2030,F,Ship,2,1,229,4,low,M,6,3757
2031,F,Ship,5,4,191,4,medium,M,63,2039
2032,B,Ship,5,5,184,3,medium,M,7,4742
2033,F,Ship,5,4,281,4,medium,F,40,3381
2034,A,Ship,5,1,197,4,low,F,2,5594
2035,D,Ship,7,5,292,5,low,M,5,1932
2036,F,Ship,6,4,268,4,medium,F,3,1586
2037,D,Flight,6,3,191,6,medium,F,2,4471
2038,C,Ship,4,2,258,3,medium,F,9,4977
2039,F,Flight,4,3,206,4,low,M,1,4596
2040,F,Flight,4,3,207,2,medium,M,4,5227
2041,B,Ship,4,3,151,3,medium,F,8,4025
2042,D,Ship,4,1,155,5,low,F,1,5986
2043,B,Road,3,5,251,2,low,F,28,3936
2044,D,Ship,3,2,108,4,low,F,5,4787
2045,A,Ship,3,3,217,3,medium,M,10,5439
2046,C,Ship,7,3,272,4,medium,M,2,1754
2047,C,Road,3,3,169,3,low,F,7,5976
2048,F,Road,5,2,195,6,low,M,38,1338
2049,C,Ship,4,5,160,6,low,F,4,4684
2050,C,Ship,2,1,234,4,medium,F,9,5075
2051,B,Ship,2,1,143,3,low,M,4,4512
2052,A,Flight,4,5,140,5,medium,F,3,4191
2053,D,Ship,4,4,133,4,high,F,7,5973
2054,A,Flight,5,1,303,5,medium,F,9,1203
2055,C,Road,5,1,219,6,low,F,2,1650
2056,A,Ship,4,3,162,10,high,M,25,1764
2057,A,Flight,4,1,250,2,low,M,17,3544
2058,D,Ship,3,1,238,2,medium,M,5,4355
2059,F,Flight,3,3,214,2,medium,F,9,4185
2060,B,Ship,4,1,259,3,low,M,39,2427
2061,C,Road,2,1,113,5,low,F,9,1957
2062,F,Flight,3,3,154,4,medium,F,62,1616
2063,B,Ship,3,1,198,2,medium,F,49,3573
2064,A,Road,3,1,139,3,low,F,4,4666
2065,A,Flight,5,1,271,5,low,M,4,1353
2066,F,Ship,3,2,143,3,low,F,58,1785
2067,D,Road,5,2,223,5,medium,F,6,1883
2068,B,Road,5,1,241,5,low,F,1,1146
2069,D,Road,7,5,244,4,low,M,2,1330
2070,F,Ship,4,4,101,5,low,F,8,4192
2071,B,Flight,3,5,256,2,medium,F,4,5368
2072,D,Flight,4,1,258,2,low,F,56,3186
2073,B,Ship,5,4,165,4,medium,M,7,5091
2074,C,Road,4,5,163,5,low,M,24,1658
2075,F,Flight,3,2,150,3,high,M,2,5502
2076,F,Ship,4,3,249,6,low,M,2,1046
2077,F,Ship,3,3,158,3,low,F,6,5261
2078,F,Ship,5,5,164,5,low,M,52,1644
2079,C,Flight,3,2,207,2,medium,F,10,4070
2080,D,Ship,4,4,211,4,medium,M,8,4747
2081,F,Ship,6,2,282,4,medium,M,6,1674
2082,D,Ship,5,1,198,5,medium,F,49,3187
2083,F,Ship,4,5,217,3,low,F,6,4848
2084,F,Flight,5,4,182,3,medium,F,11,3545
2085,C,Ship,4,2,177,6,low,F,3,4392
2086,F,Ship,5,1,103,5,low,M,3,4966
2087,F,Flight,4,5,258,5,low,M,3,1162
2088,C,Ship,4,5,151,3,medium,F,10,5275
2089,F,Road,4,2,128,5,low,F,28,1247
2090,B,Flight,3,1,151,2,low,M,60,1925
2091,F,Flight,5,2,152,3,medium,M,4,4699
2092,D,Flight,3,1,237,3,medium,F,1,4476
2093,C,Road,4,4,199,3,low,F,9,5016
2094,C,Ship,5,1,187,2,low,F,17,3513
2095,B,Ship,4,1,148,3,low,M,30,1731
2096,B,Ship,3,4,243,2,high,M,7,4024
2097,C,Ship,4,3,197,2,low,M,7,5449
2098,C,Ship,3,3,147,3,low,M,4,5805
2099,A,Flight,5,4,136,4,low,M,9,5469
2100,B,Ship,2,4,144,2,medium,M,5,5867
2101,B,Ship,2,1,274,10,high,F,1,5622
2102,A,Road,6,2,309,4,low,F,6,1335
2103,B,Ship,2,2,203,4,medium,M,10,5764
2104,A,Ship,4,4,140,4,medium,F,46,1442
2105,F,Ship,5,1,114,4,low,F,47,1443
2106,D,Ship,4,4,244,3,medium,F,55,2782
2107,F,Ship,5,5,223,3,medium,F,3,4382
2108,A,Ship,3,2,263,4,medium,M,8,2599
2109,D,Ship,3,5,225,2,low,F,56,2596
2110,F,Road,3,1,148,2,medium,M,34,1053
2111,C,Ship,6,1,104,4,medium,F,23,1442
2112,D,Ship,5,3,209,4,medium,F,7,2675
2113,F,Ship,3,4,242,3,high,M,54,3011
2114,B,Ship,3,2,183,3,low,F,44,2896
2115,F,Ship,7,4,301,4,low,F,1,1150
2116,F,Ship,3,4,229,6,medium,F,3,5471
2117,B,Road,4,2,168,3,low,M,59,1717
2118,A,Ship,4,2,185,3,medium,M,1,5338
2119,A,Ship,6,4,248,4,low,F,6,1851
2120,A,Road,4,2,172,2,low,M,23,1019
2121,F,Ship,4,4,142,10,high,F,7,4624
2122,C,Ship,4,5,180,2,medium,F,1,4332
2123,A,Ship,4,3,134,10,medium,M,8,4337
2124,D,Road,3,4,130,2,medium,F,42,1213
2125,B,Ship,4,2,267,5,low,M,9,4720
2126,F,Road,4,3,217,6,medium,F,6,1552
2127,D,Ship,3,1,272,2,low,M,51,2719
2128,F,Flight,5,2,152,4,medium,M,6,5596
2129,D,Ship,3,3,205,2,medium,F,58,2187
2130,A,Ship,5,4,227,2,medium,M,3,5904
2131,D,Ship,3,5,153,4,low,F,10,5897
2132,B,Road,4,4,206,3,medium,F,33,2804
2133,D,Road,5,5,253,6,low,F,1,1300
2134,D,Flight,2,2,215,5,medium,M,3,5185
2135,D,Ship,5,2,173,4,medium,M,4,5363
2136,D,Ship,2,5,171,3,medium,F,13,1101
2137,C,Ship,4,2,179,3,low,M,3,5284
2138,F,Ship,2,1,125,4,low,M,1,4097
2139,F,Ship,4,3,273,2,high,M,43,3462
2140,F,Ship,3,3,149,4,medium,F,3,5944
2141,F,Flight,4,1,223,3,medium,F,4,4972
2142,A,Road,4,5,163,3,medium,F,2,4887
2143,C,Ship,5,4,182,3,medium,F,7,5677
2144,B,Ship,3,3,239,3,medium,M,7,4942
2145,A,Ship,3,4,203,3,medium,M,1,5543
2146,A,Flight,3,1,154,2,low,F,10,5594
2147,D,Ship,7,3,270,4,medium,F,10,1211
2148,B,Ship,2,4,111,2,high,M,60,1787
2149,D,Ship,2,4,121,5,low,M,32,1788
2150,A,Ship,5,5,253,2,high,F,3,4851
2151,F,Ship,4,5,233,3,medium,F,7,5604
2152,A,Ship,4,1,253,5,low,F,1,1235
2153,A,Ship,5,3,221,5,low,F,8,1109
2154,B,Ship,4,2,133,4,medium,F,52,1401
2155,B,Ship,5,2,264,6,medium,M,10,1659
2156,B,Road,6,4,285,4,medium,M,9,1180
2157,C,Ship,4,2,273,2,low,F,5,5608
2158,A,Ship,5,2,263,6,low,M,2,1851
2159,F,Ship,3,4,138,3,low,F,54,1648
2160,F,Flight,3,2,264,4,medium,M,1,4877
2161,A,Ship,3,2,256,4,low,F,18,2699
2162,A,Flight,3,5,245,10,medium,M,8,4909
2163,F,Ship,3,4,229,3,medium,F,46,3223
2164,B,Ship,4,1,188,2,low,M,6,5894
2165,A,Ship,3,3,265,3,medium,F,3,5986
2166,F,Ship,3,1,187,3,medium,M,7,4607
2167,F,Flight,6,3,225,4,low,M,5,4184
2168,B,Ship,4,2,251,2,low,F,10,4898
2169,F,Ship,4,5,173,3,low,F,7,4410
2170,D,Road,5,5,235,5,medium,F,10,1393
2171,B,Ship,5,4,223,3,medium,M,7,5738
2172,A,Ship,4,4,255,3,high,F,3,5616
2173,A,Ship,3,3,253,3,medium,M,5,4754
2174,F,Road,3,3,253,3,medium,M,7,5085
2175,F,Ship,4,4,214,2,high,F,1,4117
2176,F,Ship,4,3,150,2,medium,M,31,1588
2177,D,Ship,6,3,219,4,medium,M,6,4885
2178,D,Road,5,2,262,6,medium,M,10,3164
2179,B,Ship,3,4,256,4,low,M,11,3030
2180,A,Ship,6,3,247,4,medium,M,3,1903
2181,D,Ship,3,2,223,3,medium,F,6,2127
2182,C,Ship,3,3,164,3,high,M,8,5170
2183,F,Road,3,4,175,3,low,F,2,5272
2184,B,Ship,3,2,231,4,medium,M,48,3370
2185,F,Ship,3,5,220,4,low,F,5,5677
2186,A,Flight,3,4,97,4,low,M,32,1238
2187,D,Ship,6,1,286,7,medium,F,7,2338
2188,B,Flight,3,2,227,3,low,F,4,4450
2189,D,Ship,4,2,182,2,medium,F,54,3261
2190,B,Ship,4,3,251,3,medium,F,46,2632
2191,F,Ship,5,2,145,5,medium,F,22,1818
2192,F,Ship,4,5,219,3,low,F,1,5221
2193,D,Ship,4,4,218,2,low,M,4,4104
2194,A,Ship,5,4,252,5,low,M,2,1847
2195,D,Ship,3,5,211,3,medium,M,5,4058
2196,F,Flight,3,4,243,3,medium,M,6,4950
2197,C,Ship,3,4,134,2,medium,M,43,1198
2198,D,Ship,5,1,151,4,low,M,5,4549
2199,F,Ship,5,5,262,2,medium,F,62,3744
2200,A,Flight,3,4,198,3,medium,M,7,4020
2201,B,Ship,5,1,214,3,low,M,33,2562
2202,F,Road,6,5,309,4,low,M,6,1463
2203,C,Ship,3,2,135,7,medium,F,5,4716
2204,C,Ship,2,4,178,4,medium,F,8,4620
2205,B,Ship,4,2,124,3,high,M,60,1107
2206,B,Ship,2,4,193,2,low,F,5,5706
2207,F,Ship,5,3,150,3,medium,M,21,1187
2208,C,Ship,5,4,254,5,low,M,10,1350
2209,B,Ship,4,4,222,2,medium,M,7,4343
2210,B,Ship,3,3,163,2,high,F,10,5364
2211,A,Road,2,5,159,3,low,F,49,1621
2212,B,Ship,3,2,154,3,medium,M,1,5322
2213,B,Ship,3,5,273,10,medium,F,5,4608
2214,F,Ship,4,4,255,6,low,M,5,1708
2215,F,Ship,6,2,292,4,low,F,2,1565
2216,C,Ship,5,2,165,5,medium,M,9,5313
2217,A,Ship,4,5,188,3,low,F,13,2409
2218,C,Ship,5,2,275,5,low,M,9,1373
2219,A,Ship,5,4,255,3,low,F,1,5775
2220,F,Ship,5,2,246,2,medium,M,13,2652
2221,F,Ship,4,4,199,2,low,M,9,3075
2222,F,Ship,4,3,133,3,medium,F,50,1861
2223,F,Ship,4,3,235,3,medium,F,4,5748
2224,D,Ship,5,1,262,3,medium,F,58,3599
2225,D,Ship,5,5,239,3,high,M,18,2495
2226,F,Ship,5,1,245,3,low,M,6,4343
2227,D,Ship,3,4,134,4,medium,M,53,1887
2228,F,Ship,6,5,274,4,low,M,6,1066
2229,C,Ship,3,2,181,3,low,M,4,5966
2230,A,Ship,4,3,104,5,low,F,6,4617
2231,C,Road,4,3,204,2,low,F,7,4717
2232,F,Ship,4,1,268,4,medium,F,2,4543
2233,F,Ship,3,5,163,2,low,F,49,1034
2234,F,Ship,2,5,170,8,low,M,14,1396
2235,C,Ship,3,4,169,4,medium,F,32,1245
2236,C,Ship,3,1,173,2,low,F,7,4684
2237,B,Road,3,5,110,3,medium,M,3,4252
2238,D,Flight,4,1,155,3,low,F,5,4283
2239,C,Ship,7,4,281,4,low,M,9,1970
2240,C,Ship,4,3,169,2,low,M,2,1399
2241,B,Flight,4,3,225,2,high,F,4,4732
2242,D,Ship,6,1,268,4,low,F,1,1654
2243,B,Ship,5,2,140,4,high,M,58,1175
2244,F,Flight,4,4,264,3,low,F,2,4279
2245,F,Ship,4,2,273,5,low,F,4,1223
2246,B,Ship,6,5,282,4,low,M,1,1193
2247,B,Ship,4,4,157,3,medium,F,10,5041
2248,D,Flight,2,1,218,2,low,M,15,2745
2249,F,Ship,3,3,153,5,low,M,35,1089
2250,D,Ship,3,5,274,3,medium,F,51,3476
2251,F,Ship,6,5,98,3,low,F,8,5946
2252,F,Flight,4,2,246,3,low,F,7,5616
2253,B,Ship,3,5,206,4,medium,F,2,5829
2254,F,Ship,3,1,267,3,low,F,57,3257
2255,F,Flight,3,5,161,3,low,M,2,4475
2256,F,Flight,3,4,223,10,low,F,9,4337
2257,C,Flight,4,3,262,4,high,F,2,4783
2258,F,Flight,5,1,211,2,medium,M,1,5913
2259,A,Road,4,3,227,3,medium,M,8,5829
2260,A,Ship,4,4,192,3,low,F,25,2443
2261,A,Flight,4,1,150,3,low,F,10,4470
2262,F,Road,5,2,266,5,medium,M,8,1367
2263,F,Flight,6,1,247,6,medium,F,6,4691
2264,A,Road,2,3,142,3,low,F,46,1694
2265,D,Ship,5,4,266,3,low,M,2,5260
2266,A,Ship,5,2,215,6,medium,F,5,5195
2267,C,Ship,4,3,216,4,medium,M,3,4750
2268,A,Ship,5,5,194,3,low,M,47,2256
2269,A,Ship,5,1,230,4,medium,M,4,5363
2270,F,Ship,3,2,224,2,low,F,49,3749
2271,C,Ship,6,5,244,4,low,M,9,1789
2272,A,Ship,4,3,264,6,medium,F,7,1178
2273,A,Ship,3,3,189,3,medium,F,1,5896
2274,F,Ship,4,4,135,2,low,M,4,4684
2275,F,Ship,5,4,138,2,medium,F,8,5885
2276,A,Road,4,1,205,5,low,M,10,4944
2277,C,Road,3,3,207,6,high,F,24,3702
2278,B,Ship,4,4,205,4,medium,F,2,4690
2279,B,Ship,4,1,273,3,low,F,5,5323
2280,C,Ship,4,4,201,10,low,M,3,4202
2281,F,Ship,5,5,266,2,medium,M,7,5712
2282,F,Ship,4,5,216,3,high,M,26,2053
2283,D,Flight,2,1,203,3,medium,M,6,4234
2284,F,Ship,4,4,199,3,low,M,10,5002
2285,B,Flight,3,1,104,2,low,M,1,1021
2286,F,Ship,5,3,135,3,medium,F,5,4484
2287,F,Ship,6,3,278,4,medium,M,4,1716
2288,B,Ship,4,5,241,5,low,M,2,1043
2289,D,Ship,5,5,203,5,medium,M,1,5356
2290,F,Flight,4,2,185,5,low,M,7,4694
2291,C,Ship,2,3,159,3,medium,M,62,1124
2292,F,Flight,4,4,197,3,low,F,29,2915
2293,C,Ship,3,4,274,3,low,F,7,5036
2294,C,Ship,3,2,208,2,low,F,6,5344
2295,D,Ship,7,4,285,4,medium,F,2,1017
2296,F,Road,6,4,256,4,low,F,2,1752
2297,A,Road,4,4,178,4,medium,F,13,1614
2298,F,Ship,2,2,190,2,medium,M,7,4075
2299,C,Ship,6,3,267,4,medium,M,1,1942
2300,F,Road,6,4,240,3,low,F,9,4986
2301,F,Road,6,4,253,2,low,F,9,5972
2302,B,Ship,3,3,162,2,medium,M,65,1184
2303,F,Ship,5,3,161,5,high,M,48,1883
2304,F,Ship,4,5,217,3,low,F,3,5380
2305,F,Flight,5,4,266,6,medium,F,7,4486
2306,D,Ship,3,1,234,4,high,M,6,4942
2307,C,Flight,5,1,139,3,medium,M,2,5632
2308,D,Ship,7,1,264,4,medium,F,9,1829
2309,F,Flight,3,5,257,3,medium,M,4,5196
2310,F,Ship,4,4,270,2,medium,F,6,5221
2311,B,Ship,4,4,170,2,low,M,34,1512
2312,D,Ship,4,4,228,4,high,M,1,5573
2313,B,Flight,4,5,160,3,low,M,33,1837
2314,B,Ship,6,4,283,5,medium,F,35,2686
2315,F,Ship,6,2,204,4,medium,F,2,4431
2316,F,Ship,3,2,204,3,high,F,54,3608
2317,F,Ship,6,2,164,4,low,M,6,5264
2318,B,Ship,4,4,138,7,medium,M,65,1530
2319,B,Road,5,5,271,6,low,M,6,1450
2320,B,Road,3,2,227,2,low,M,10,5401
2321,C,Road,4,3,225,3,low,F,62,2587
2322,F,Flight,5,5,263,5,medium,M,10,1789
2323,D,Ship,4,4,209,6,low,M,62,3532
2324,D,Ship,3,1,152,3,low,F,3,5839
2325,B,Ship,3,2,256,3,low,M,1,4932
2326,D,Road,3,1,267,4,medium,F,4,4914
2327,C,Road,6,3,175,4,low,M,3,4143
2328,D,Road,5,3,168,4,low,M,7,1298
2329,B,Ship,3,4,254,2,high,F,41,3973
2330,C,Flight,4,4,212,4,medium,M,16,2494
2331,F,Ship,3,3,246,4,low,F,3,4316
2332,D,Flight,3,5,252,3,medium,F,8,4557
2333,B,Ship,6,1,283,5,low,F,9,1311
2334,F,Ship,3,3,268,10,medium,M,2,5626
2335,C,Ship,3,2,201,3,medium,M,7,4890
2336,A,Ship,3,3,148,2,low,M,39,1402
2337,F,Ship,4,5,200,4,medium,F,2,4947
2338,F,Flight,4,4,225,3,low,M,10,4486
2339,B,Road,4,5,180,2,medium,M,1,5622
2340,D,Ship,3,4,249,3,high,F,10,5629
2341,A,Flight,3,1,226,2,medium,F,6,4946
2342,F,Ship,3,4,145,3,medium,M,44,1218
2343,B,Ship,3,2,191,4,medium,F,16,2277
2344,F,Road,3,1,187,2,low,F,10,5064
2345,F,Flight,5,5,269,5,low,M,5,1742
2346,F,Ship,7,3,267,4,medium,M,8,1892
2347,F,Ship,3,4,145,8,low,F,15,1429
2348,B,Flight,4,2,272,3,high,F,6,4559
2349,B,Ship,2,3,140,3,low,F,2,4691
2350,A,Ship,3,3,234,3,low,F,8,4839
2351,A,Ship,6,3,273,5,low,M,8,1746
2352,D,Ship,4,3,162,2,low,M,2,1714
2353,F,Ship,5,3,257,5,low,M,7,1090
2354,B,Flight,5,3,260,2,high,F,63,2715
2355,B,Flight,4,2,233,7,medium,M,64,3146
2356,F,Ship,3,5,221,10,medium,F,7,5743
2357,F,Flight,5,4,142,2,high,M,7,5341
2358,C,Ship,4,5,268,3,low,F,59,2083
2359,F,Ship,4,4,163,2,low,F,41,1634
2360,A,Ship,5,2,260,4,medium,F,3,5890
2361,A,Flight,5,1,222,3,high,M,21,2351
2362,F,Ship,5,3,267,3,low,M,9,5258
2363,A,Ship,6,1,289,4,low,M,3,1181
2364,D,Flight,4,1,143,3,medium,M,4,4283
2365,C,Flight,6,1,263,6,low,M,10,5826
2366,B,Ship,3,4,234,2,medium,M,52,3543
2367,B,Flight,6,5,291,4,low,M,9,1413
2368,F,Ship,5,3,189,3,medium,F,7,5830
2369,C,Ship,5,5,242,4,medium,F,2,5359
2370,B,Road,4,2,202,4,low,F,1,3602
2371,F,Road,4,1,226,7,low,M,41,2964
2372,C,Flight,5,4,275,4,low,F,7,4597
2373,C,Ship,3,5,185,2,low,F,36,3501
2374,F,Ship,3,1,176,3,low,F,7,4276
2375,F,Ship,3,2,247,2,high,M,1,4242
2376,C,Ship,7,4,305,4,medium,F,6,1873
2377,D,Flight,4,2,203,5,low,F,20,3098
2378,C,Road,6,3,310,4,low,F,2,1189
2379,F,Flight,3,5,186,2,low,F,39,2197
2380,D,Ship,3,3,231,2,high,F,8,5021
2381,C,Flight,5,3,259,3,low,F,45,3335
2382,A,Ship,3,3,273,6,low,M,6,1771
2383,B,Road,3,3,252,2,medium,F,48,2102
2384,A,Ship,3,4,121,3,low,F,63,1611
2385,F,Ship,3,2,178,2,medium,F,59,1933
2386,F,Ship,4,3,222,3,low,F,8,4861
2387,F,Ship,4,2,147,3,low,F,5,5174
2388,F,Ship,2,4,140,3,low,F,33,1278
2389,A,Ship,3,3,179,3,medium,F,41,1892
2390,C,Ship,6,3,195,2,medium,M,21,3869
2391,F,Ship,3,4,190,10,medium,F,38,2018
2392,D,Ship,4,1,187,2,low,M,5,5691
2393,D,Ship,3,5,156,4,medium,F,26,1769
2394,A,Ship,3,5,155,4,low,F,1,4432
2395,B,Ship,4,4,159,3,low,M,9,4265
2396,C,Road,6,2,263,6,low,F,4,4591
2397,F,Ship,5,2,235,2,low,F,10,4938
2398,C,Ship,5,2,150,3,medium,M,63,1807
2399,F,Ship,2,2,193,3,medium,M,64,2867
2400,B,Ship,5,5,254,5,low,F,35,2508
2401,A,Road,5,2,156,4,medium,M,39,1204
2402,C,Ship,4,3,252,2,medium,M,1,2336
2403,F,Ship,3,3,229,2,medium,F,1,5670
2404,F,Road,4,5,258,2,medium,F,2,4303
2405,D,Ship,4,2,190,6,high,M,5,4139
2406,C,Ship,4,5,151,4,medium,M,10,4796
2407,D,Ship,4,4,252,5,medium,M,1,1539
2408,B,Ship,4,4,226,5,medium,F,12,2708
2409,D,Ship,3,5,211,2,medium,F,9,4577
2410,F,Ship,4,2,227,2,high,M,35,3583
2411,F,Ship,6,1,269,6,medium,F,2,5363
2412,A,Ship,5,1,263,2,medium,F,4,1092
2413,D,Ship,6,2,246,4,medium,M,7,1071
2414,D,Ship,3,2,133,2,low,F,3,4677
2415,F,Road,4,2,209,2,medium,F,9,5131
2416,C,Ship,3,4,285,6,low,F,27,2249
2417,B,Ship,4,3,228,4,low,M,61,3583
2418,F,Ship,6,3,260,4,low,F,1,1775
2419,F,Ship,5,5,207,4,low,F,1,5035
2420,F,Flight,5,3,171,2,medium,F,1,5385
2421,F,Flight,7,3,244,5,medium,F,10,1913
2422,B,Ship,4,5,198,2,medium,F,9,4108
2423,F,Ship,5,1,235,3,low,F,7,5061
2424,F,Ship,4,1,237,5,low,F,5,1041
2425,F,Flight,7,1,308,4,medium,M,5,1705
2426,F,Road,3,3,173,2,low,M,5,4703
2427,F,Ship,4,4,163,3,low,F,5,4440
2428,F,Flight,5,5,203,2,low,M,10,4790
2429,D,Road,3,4,147,3,low,F,2,1307
2430,F,Ship,4,4,198,2,low,M,6,5520
2431,F,Ship,5,4,160,3,high,M,2,5876
2432,B,Ship,4,1,234,2,medium,M,4,5066
2433,B,Ship,4,1,209,2,low,F,10,5066
2434,C,Road,4,3,192,3,low,F,43,3498
2435,B,Ship,4,2,263,3,low,F,7,5395
2436,F,Ship,4,1,166,5,low,F,9,4472
2437,C,Ship,3,2,262,7,high,M,5,5985
2438,D,Ship,4,3,241,5,low,M,6,1324
2439,B,Ship,4,4,151,2,low,M,3,4105
2440,F,Ship,4,3,140,2,medium,F,2,5042
2441,B,Ship,5,4,242,5,medium,M,1,1824
2442,F,Ship,4,5,199,2,low,F,8,4463
2443,B,Flight,5,5,189,3,low,M,7,5717
2444,D,Ship,2,2,156,3,low,F,5,5628
2445,A,Ship,5,3,197,3,medium,F,2,4678
2446,D,Ship,3,3,144,3,low,M,1,1274
2447,A,Ship,5,5,243,6,low,M,9,1348
2448,D,Ship,6,4,225,4,medium,M,10,4723
2449,F,Road,6,2,215,5,low,F,7,4057
2450,C,Ship,6,4,298,4,medium,M,9,1629
2451,A,Ship,6,4,250,4,low,M,2,1969
2452,C,Ship,4,3,250,3,medium,F,3,5055
2453,A,Flight,4,3,264,3,medium,M,23,2376
2454,B,Ship,3,5,225,3,medium,M,8,3813
2455,F,Ship,4,3,273,10,medium,M,6,4251
2456,F,Ship,4,1,255,5,low,F,4,1005
2457,A,Ship,3,1,163,4,low,F,20,1940
2458,D,Ship,5,1,181,4,medium,F,4,5505
2459,D,Ship,4,4,272,5,low,F,3,5243
2460,C,Ship,4,3,264,5,medium,M,3,1639
2461,D,Ship,4,2,192,3,high,M,4,2061
2462,C,Ship,4,1,258,4,low,M,5,5664
2463,C,Road,3,3,169,3,low,M,10,5147
2464,F,Road,5,5,190,4,medium,M,12,2947
2465,A,Ship,3,4,166,2,low,F,10,5258
2466,C,Ship,2,4,152,3,low,M,55,1498
2467,F,Ship,3,3,141,3,low,F,7,4954
2468,F,Ship,4,4,204,2,medium,F,9,4462
2469,F,Ship,5,4,229,3,low,M,1,5660
2470,D,Ship,4,5,144,2,medium,M,8,5478
2471,C,Ship,5,3,148,3,low,M,7,4714
2472,C,Flight,4,1,249,5,low,F,10,1762
2473,B,Ship,4,4,177,6,low,M,6,5451
2474,B,Ship,4,2,145,3,medium,F,7,5823
2475,B,Ship,4,1,241,2,low,F,39,2935
2476,F,Ship,3,3,218,3,low,M,19,3770
2477,C,Flight,4,4,258,3,medium,M,4,4578
2478,C,Ship,4,2,191,2,low,M,11,3985
2479,F,Ship,7,2,302,4,low,M,6,1632
2480,B,Road,2,2,260,3,medium,F,6,4747
2481,F,Road,5,2,208,3,medium,M,8,3442
2482,A,Ship,3,4,166,2,medium,F,58,1319
2483,C,Road,3,2,254,2,low,M,37,2469
2484,A,Ship,5,1,137,2,low,M,52,1012
2485,B,Ship,5,5,258,4,high,F,5,4562
2486,C,Flight,6,4,268,4,low,M,9,1793
2487,A,Ship,5,5,233,3,high,M,5,5330
2488,B,Flight,3,1,199,6,medium,F,7,4805
2489,A,Ship,4,1,237,4,medium,F,22,2231
2490,D,Ship,3,4,172,10,high,F,23,1875
2491,D,Road,4,4,264,4,medium,M,9,5186
2492,F,Ship,3,1,171,2,low,M,1,1629
2493,C,Ship,2,4,158,5,medium,F,2,4303
2494,B,Ship,2,2,271,4,medium,M,9,4066
2495,D,Ship,4,4,212,4,medium,F,2,3830
2496,F,Road,5,4,165,2,high,M,46,1482
2497,C,Ship,4,2,149,5,medium,F,8,4209
2498,F,Flight,3,5,218,4,medium,M,60,3048
2499,B,Road,3,2,157,2,low,F,7,5228
2500,F,Ship,3,3,185,3,medium,F,10,4387
2501,F,Ship,6,2,276,6,medium,M,7,2437
2502,F,Flight,4,1,168,2,medium,F,8,5276
2503,F,Road,2,4,257,6,low,M,5,3986
2504,B,Ship,5,1,234,2,low,M,12,2372
2505,A,Ship,4,4,175,2,medium,F,7,1188
2506,F,Ship,5,2,244,5,low,M,10,1699
2507,F,Flight,5,3,224,5,medium,M,9,1643
2508,D,Ship,3,4,187,2,high,M,8,3725
2509,F,Ship,2,5,249,3,low,F,3,4169
2510,A,Ship,5,1,256,2,medium,F,1,5352
2511,B,Ship,6,3,310,5,low,M,6,1139
2512,D,Ship,3,4,265,8,low,F,35,3299
2513,B,Ship,3,1,254,3,medium,F,35,2965
2514,F,Road,3,1,149,3,medium,M,5,4805
2515,A,Flight,4,2,223,5,medium,F,3,4480
2516,F,Ship,3,4,266,2,high,M,49,2643
2517,A,Road,6,4,300,4,medium,F,7,1607
2518,D,Ship,5,2,230,6,low,M,10,3604
2519,A,Ship,3,2,223,2,low,M,64,3595
2520,F,Flight,3,5,175,3,high,F,6,5150
2521,D,Flight,6,1,290,4,medium,M,6,1505
2522,D,Ship,5,3,181,4,low,F,2,5332
2523,C,Ship,4,3,206,4,medium,M,1,4812
2524,B,Flight,3,2,178,3,low,M,4,5119
2525,A,Ship,4,5,150,3,high,F,10,5767
2526,F,Ship,3,1,132,3,medium,F,5,5978
2527,C,Ship,4,3,260,2,low,M,38,2526
2528,F,Ship,5,4,157,7,medium,M,3,4723
2529,B,Ship,4,5,237,5,low,F,9,1978
2530,C,Ship,4,1,272,5,medium,F,1,1149
2531,F,Ship,4,4,265,3,medium,F,47,3307
2532,F,Ship,7,3,307,4,low,F,1,1589
2533,F,Ship,7,4,295,4,low,M,5,1239
2534,F,Flight,6,1,255,4,low,F,2,1385
2535,C,Ship,2,5,190,8,medium,M,11,2976
2536,C,Road,3,1,254,4,medium,M,9,4571
2537,B,Ship,6,4,291,4,low,F,8,1131
2538,F,Road,3,3,236,2,medium,F,58,3360
2539,A,Ship,4,2,149,3,medium,M,26,1863
2540,B,Ship,4,4,168,2,medium,M,63,1474
2541,F,Road,5,1,231,5,low,M,10,1418
2542,D,Ship,3,1,156,3,medium,M,9,4278
2543,F,Road,4,2,246,5,low,M,9,1206
2544,B,Ship,4,4,182,2,low,F,13,3332
2545,B,Flight,2,1,168,4,low,M,6,4800
2546,C,Ship,2,1,180,2,medium,F,31,1078
2547,A,Ship,4,2,255,5,low,F,7,1378
2548,C,Ship,3,3,221,3,low,F,5,4388
2549,D,Ship,5,5,209,2,low,F,3,4348
2550,B,Ship,4,2,146,3,medium,M,7,4381
2551,D,Ship,3,2,205,2,low,M,6,4853
2552,A,Ship,3,3,203,3,medium,F,4,5548
2553,F,Flight,5,4,281,3,low,F,10,5675
